,CATEGORIE,DATE,QUART,PDQ,X,Y,LONGITUDE,LATITUDE
184055,Introduction,2023-01-03,jour,38.0,299425.014998168,5041561.07500538,-73.568795,45.513949
184056,Vol dans / sur véhicule à moteur,2023-01-03,jour,8.0,291410.155994854,5032418.50000347,-73.671127,45.431572
184059,Introduction,2023-01-03,soir,44.0,298158.385997604,5045330.09399804,-73.585057,45.547853
184067,Vol de véhicule à moteur,2023-01-03,soir,10.0,293262.313,5043679.006,-73.647721,45.532932
184073,Introduction,2023-01-03,soir,31.0,294740.428003799,5045627.61500135,-73.628836,45.550489
184085,Vol dans / sur véhicule à moteur,2023-01-04,nuit,31.0,295933.861997108,5045137.95800047,-73.613543,45.546099
184086,Vols qualifiés,2023-01-04,nuit,44.0,299159.033004947,5047916.98800527,-73.572272,45.571139
184250,Vol de véhicule à moteur,2023-01-04,nuit,21.0,299979.7,5041147.401,-73.561691,45.51023
184263,Vol de véhicule à moteur,2023-01-30,jour,30.0,296283.172997164,5047306.80100778,-73.609107,45.565619
184264,Vol dans / sur véhicule à moteur,2023-01-17,jour,16.0,298497.593995259,5034108.50000464,-73.580569,45.446879
184277,Vol dans / sur véhicule à moteur,2023-01-30,soir,30.0,296630.019003875,5047167.963001,-73.604661,45.564374
184284,Vol de véhicule à moteur,2023-01-04,jour,35.0,297029.0909940261,5045052.58299419,-73.599515,45.545344
184287,Méfait,2023-01-30,soir,8.0,291366.280998426,5032790.00000107,-73.671698,45.434914
184296,Introduction,2023-01-31,nuit,9.0,294565.18400722893,5036315.52100444,-73.630886,45.466692
184371,Vol de véhicule à moteur,2023-01-24,jour,49.0,305392.92399144,5060716.51599852,-73.492388,45.686335
184382,Vol dans / sur véhicule à moteur,2023-01-11,jour,9.0,295152.1069985851,5035949.7249996895,-73.623373,45.463409
184388,Vol de véhicule à moteur,2023-01-24,jour,13.0,294692.030996681,5031411.999995889,-73.629163,45.42257
184408,Vol de véhicule à moteur,2023-01-24,soir,49.0,304164.091,5057851.866,-73.50816,45.660558
184937,Vol de véhicule à moteur,2023-01-28,nuit,15.0,297179.973992843,5035525.75400354,-73.597435,45.459619
184949,Vol de véhicule à moteur,2023-01-28,jour,30.0,293929.610997228,5047928.55199748,-73.639272,45.571181
184971,Vol dans / sur véhicule à moteur,2023-01-28,jour,22.0,300140.467995116,5042275.37999659,-73.559644,45.520381
184976,Vols qualifiés,2023-01-28,jour,22.0,300385.902993148,5042509.0880085295,-73.556505,45.522486
184980,Méfait,2023-01-28,jour,9.0,294735.779990755,5036211.46999378,-73.628702,45.465759
184984,Vol dans / sur véhicule à moteur,2023-01-28,jour,21.0,300182.9750027111,5040803.60100502,-73.559086,45.507138
185070,Vol de véhicule à moteur,2023-01-25,nuit,44.0,297480.429990145,5046120.45500824,-73.593751,45.554958
185073,Vol de véhicule à moteur,2023-01-25,jour,35.0,295747.307993271,5043653.07499327,-73.615904,45.532735
185074,Vol de véhicule à moteur,2023-01-25,jour,26.0,293779.766992999,5038642.53499958,-73.640983,45.48762
185079,Méfait,2023-01-25,jour,9.0,294899.797995909,5035873.96399584,-73.626598,45.462724
185084,Vol dans / sur véhicule à moteur,2023-01-25,jour,15.0,297003.463010686,5035479.7640049,-73.599691,45.459203
185088,Introduction,2023-01-01,jour,12.0,298095.302989857,5038256.144007609,-73.585768,45.484198
185101,Introduction,2023-01-12,jour,35.0,296814.798992254,5044131.5820023,-73.602245,45.537054
